Inventory_ID,Snapshot_Date,Product_ID,Warehouse,Stock_Level,Reorder_Level,Stock_Value_SAR,Stock_Status,Year,Month
INV0000001,1/31/2019 0:00,PRD001,Riyadh Central,270,70,1954.8,Normal,2019,1
INV0000002,1/31/2019 0:00,PRD001,Jeddah West,296,110,2143.04,Normal,2019,1
INV0000003,1/31/2019 0:00,PRD001,Dammam East,508,127,3677.92,Normal,2019,1
INV0000004,1/31/2019 0:00,PRD001,Qassim North,275,82,1991,Normal,2019,1
INV0000005,1/31/2019 0:00,PRD001,Abha South,490,136,3547.6,Normal,2019,1
INV0000006,1/31/2019 0:00,PRD002,Riyadh Central,354,126,1731.06,Normal,2019,1
INV0000007,1/31/2019 0:00,PRD002,Jeddah West,508,128,2484.12,Normal,2019,1
INV0000008,1/31/2019 0:00,PRD002,Dammam East,429,122,2097.81,Normal,2019,1
INV0000009,1/31/2019 0:00,PRD002,Qassim North,172,51,841.08,Normal,2019,1
INV0000010,1/31/2019 0:00,PRD002,Abha South,253,77,1237.17,Normal,2019,1
INV0000011,1/31/2019 0:00,PRD003,Riyadh Central,62,15,319.3,Normal,2019,1
INV0000012,1/31/2019 0:00,PRD003,Jeddah West,466,135,2399.9,Normal,2019,1
INV0000013,1/31/2019 0:00,PRD003,Dammam East,205,52,1055.75,Normal,2019,1
INV0000014,1/31/2019 0:00,PRD003,Qassim North,149,54,767.35,Normal,2019,1
INV0000015,1/31/2019 0:00,PRD003,Abha South,213,78,1096.95,Normal,2019,1
INV0000016,1/31/2019 0:00,PRD004,Riyadh Central,447,116,6727.35,Normal,2019,1
INV0000017,1/31/2019 0:00,PRD004,Jeddah West,489,143,7359.45,Normal,2019,1
INV0000018,1/31/2019 0:00,PRD004,Dammam East,159,54,2392.95,Normal,2019,1
INV0000019,1/31/2019 0:00,PRD004,Qassim North,384,109,5779.2,Normal,2019,1
INV0000020,1/31/2019 0:00,PRD004,Abha South,216,63,3250.8,Normal,2019,1
INV0000021,1/31/2019 0:00,PRD005,Riyadh Central,393,118,982.5,Normal,2019,1
INV0000022,1/31/2019 0:00,PRD005,Jeddah West,109,31,272.5,Normal,2019,1
INV0000023,1/31/2019 0:00,PRD005,Dammam East,364,130,910,Normal,2019,1
INV0000024,1/31/2019 0:00,PRD005,Qassim North,200,72,500,Normal,2019,1
INV0000025,1/31/2019 0:00,PRD005,Abha South,365,116,912.5,Normal,2019,1
INV0000026,1/31/2019 0:00,PRD006,Riyadh Central,162,51,1911.6,Normal,2019,1
INV0000027,1/31/2019 0:00,PRD006,Jeddah West,54,20,637.2,Normal,2019,1
INV0000028,1/31/2019 0:00,PRD006,Dammam East,253,84,2985.4,Normal,2019,1
INV0000029,1/31/2019 0:00,PRD006,Qassim North,340,101,4012,Normal,2019,1
INV0000030,1/31/2019 0:00,PRD006,Abha South,363,103,4283.4,Normal,2019,1
INV0000031,1/31/2019 0:00,PRD007,Riyadh Central,325,89,968.5,Normal,2019,1
INV0000032,1/31/2019 0:00,PRD007,Jeddah West,276,102,822.48,Normal,2019,1
INV0000033,1/31/2019 0:00,PRD007,Dammam East,122,34,363.56,Normal,2019,1
INV0000034,1/31/2019 0:00,PRD007,Qassim North,307,105,914.86,Normal,2019,1
INV0000035,1/31/2019 0:00,PRD007,Abha South,84,25,250.32,Normal,2019,1
INV0000036,1/31/2019 0:00,PRD008,Riyadh Central,532,146,6086.08,Normal,2019,1
INV0000037,1/31/2019 0:00,PRD008,Jeddah West,291,88,3329.04,Normal,2019,1
INV0000038,1/31/2019 0:00,PRD008,Dammam East,218,62,2493.92,Normal,2019,1
INV0000039,1/31/2019 0:00,PRD008,Qassim North,99,28,1132.56,Normal,2019,1
INV0000040,1/31/2019 0:00,PRD008,Abha South,500,136,5720,Normal,2019,1
INV0000041,1/31/2019 0:00,PRD009,Riyadh Central,206,52,848.72,Normal,2019,1
INV0000042,1/31/2019 0:00,PRD009,Jeddah West,314,103,1293.68,Normal,2019,1
INV0000043,1/31/2019 0:00,PRD009,Dammam East,56,19,230.72,Normal,2019,1
INV0000044,1/31/2019 0:00,PRD009,Qassim North,181,62,745.72,Normal,2019,1
INV0000045,1/31/2019 0:00,PRD009,Abha South,287,104,1182.44,Normal,2019,1
INV0000046,1/31/2019 0:00,PRD010,Riyadh Central,437,138,2639.48,Normal,2019,1
INV0000047,1/31/2019 0:00,PRD010,Jeddah West,382,103,2307.28,Normal,2019,1
INV0000048,1/31/2019 0:00,PRD010,Dammam East,461,124,2784.44,Normal,2019,1
INV0000049,1/31/2019 0:00,PRD010,Qassim North,430,127,2597.2,Normal,2019,1
INV0000050,1/31/2019 0:00,PRD010,Abha South,368,123,2222.72,Normal,2019,1
INV0000051,1/31/2019 0:00,PRD011,Riyadh Central,80,25,485.6,Normal,2019,1
INV0000052,1/31/2019 0:00,PRD011,Jeddah West,63,17,382.41,Normal,2019,1
INV0000053,1/31/2019 0:00,PRD011,Dammam East,276,79,1675.32,Normal,2019,1
INV0000054,1/31/2019 0:00,PRD011,Qassim North,207,73,1256.49,Normal,2019,1
INV0000055,1/31/2019 0:00,PRD011,Abha South,497,148,3016.79,Normal,2019,1
INV0000056,1/31/2019 0:00,PRD012,Riyadh Central,354,90,5196.72,Normal,2019,1
INV0000057,1/31/2019 0:00,PRD012,Jeddah West,108,39,1585.44,Normal,2019,1
INV0000058,1/31/2019 0:00,PRD012,Dammam East,474,124,6958.32,Normal,2019,1
INV0000059,1/31/2019 0:00,PRD012,Qassim North,125,46,1835,Normal,2019,1
INV0000060,1/31/2019 0:00,PRD012,Abha South,462,132,6782.16,Normal,2019,1
INV0000061,1/31/2019 0:00,PRD013,Riyadh Central,163,60,2759.59,Normal,2019,1
INV0000062,1/31/2019 0:00,PRD013,Jeddah West,191,64,3233.63,Normal,2019,1
INV0000063,1/31/2019 0:00,PRD013,Dammam East,295,78,4994.35,Normal,2019,1
INV0000064,1/31/2019 0:00,PRD013,Qassim North,514,133,8702.02,Normal,2019,1
INV0000065,1/31/2019 0:00,PRD013,Abha South,139,42,2353.27,Normal,2019,1
INV0000066,1/31/2019 0:00,PRD014,Riyadh Central,169,53,863.59,Normal,2019,1
INV0000067,1/31/2019 0:00,PRD014,Jeddah West,58,15,296.38,Normal,2019,1
INV0000068,1/31/2019 0:00,PRD014,Dammam East,222,62,1134.42,Normal,2019,1
INV0000069,1/31/2019 0:00,PRD014,Qassim North,378,128,1931.58,Normal,2019,1
INV0000070,1/31/2019 0:00,PRD014,Abha South,172,50,878.92,Normal,2019,1
INV0000071,1/31/2019 0:00,PRD015,Riyadh Central,155,41,2870.6,Normal,2019,1
INV0000072,1/31/2019 0:00,PRD015,Jeddah West,151,40,2796.52,Normal,2019,1
INV0000073,1/31/2019 0:00,PRD015,Dammam East,342,106,6333.84,Normal,2019,1
INV0000074,1/31/2019 0:00,PRD015,Qassim North,461,141,8537.72,Normal,2019,1
INV0000075,1/31/2019 0:00,PRD015,Abha South,331,103,6130.12,Normal,2019,1
INV0000076,1/31/2019 0:00,PRD016,Riyadh Central,497,126,2152.01,Normal,2019,1
INV0000077,1/31/2019 0:00,PRD016,Jeddah West,65,19,281.45,Normal,2019,1
INV0000078,1/31/2019 0:00,PRD016,Dammam East,57,16,246.81,Normal,2019,1
INV0000079,1/31/2019 0:00,PRD016,Qassim North,344,106,1489.52,Normal,2019,1
INV0000080,1/31/2019 0:00,PRD016,Abha South,63,21,272.79,Normal,2019,1
INV0000081,1/31/2019 0:00,PRD017,Riyadh Central,199,62,2742.22,Normal,2019,1
